영화인명,영화인 코드,분야,필모리스트
크리스토퍼 맥쿼리,10077515,감독,미션 임파서블: 폴아웃|미션 임파서블: 로그네이션|잭 리처|웨이 오브 더 건|유주얼 서스펙트
브래드 버드,10032042,감독,인크레더블 2|투모로우랜드|미션임파서블:고스트프로토콜|라따뚜이|인크레더블|심슨 가족|아이언 자이언트
김병갑,10004265,감독,신비아파트: 금빛 도깨비와 비밀의 동굴|마당을 나온 암탉|쩨쩨한 로맨스|마법천자문: 대마왕의 부활을 막아라|아치와 씨팍|왕후 심청
페이튼 리드,10083194,감독,앤트맨과 와스프|앤트맨|예스맨|브레이크 업 : 이별후애(愛)|다운 위드 러브|브링잇온
박훈정,10029578,감독,마녀|브이아이피|대호|신세계|혈투|부당거래|악마를 보았다
로슨 마샬 터버,10017517,감독,스카이스크래퍼|위 아 더 밀러스|피츠버그의 미스터리|피구의 제왕
고레에다 히로카즈,20070799,감독,어느 가족|세 번째 살인|태풍이 지나가고|바닷마을 다이어리|그렇게 아버지가 된다|엔딩노트|진짜로 일어날지도 몰라 기적|공기인형|걸어도 걸어도|하나|아무도 모른다|디스턴스|원더풀 라이프|환상의 빛|그러나... 복지를 버리는 시대로|또 하나의 교육
이해영,10058049,감독,독전: 익스텐디드 컷|독전|경성학교: 사라진 소녀들|26년|페스티발|천하장사 마돈나|아라한 장풍대작전|안녕! 유에프오|품행제로|신라의 달밤|커밍 아웃
마이클 메이슨,10025841,감독,신은 죽지 않았다 3: 어둠 속의 빛
김용화,20115572,감독,저격자 
최신규,20306533,감독,극장판 헬로카봇 : 달나라를 구해줘!|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 공룡메카드: 타이니소어의 섬|극장판 헬로카봇 : 백악기 시대|헬로 카봇
올 파커,10051071,감독,맘마미아!2|나우이즈굿 |베스트 엑조틱 메리골드 호텔|이매진 미 앤 유
윤종빈,10054495,감독,공작|춘몽|검사외전|허삼관|군도: 민란의 시대|범죄와의 전쟁: 나쁜놈들 전성시대|비스티 보이즈|용서받지 못한 자
젠디 타타코브스키,10001386,감독,몬스터 호텔 3|몬스터 호텔 2|몬스터 호텔
타치카와 유즈루,10021027,감독,명탐정 코난 : 제로의 집행인
조규장,10065265,감독,목격자|그날의 분위기|낙타는 말했다|봉수
존 터틀타웁,20100022,감독,쿨 러닝 |닌자 키드
이마이 카즈아키,10055319,감독,극장판 도라에몽: 진구의 보물섬
수잔나 포겔,10086171,감독,나를 차버린 스파이
피터 버그,10085782,감독,마일22|패트리어트 데이|딥워터 호라이즌|론 서바이버 |배틀쉽|핸콕|킹덤|프라이데이 나잇 라이트|웰컴 투 더 정글|코르키 로마노|베리배드씽|기적의 터치다운|질주|영혼의 목걸이
아니쉬 차간티,10011005,감독,서치
변혁,10031397,감독,상류사회|주홍글씨|서프라이즈|인터뷰|올슨|His Concern|어머니의 여름|호모 비디오쿠스
알폰소 쿠아론,10045281,감독,로마|그래비티|칠드런 오브 맨|해리포터와 아즈카반의 죄수|이투마마|위대한 유산 |러브 앤 히스테리|도대체 그 남자가 누구야
발타자르 코루마쿠르,10029772,감독,어드리프트:우리가 함께한 바다|오스|에베레스트|투건스|콘트라밴드|살인의 기억|천국으로 가는 초라한 여행|폭풍의 계절|보이지 않는 세계|성난 바다|레이캬비크|버림받은 천사들|분열|아그네스의 원죄 
허종호,10088447,감독,물괴|성난 변호사|카운트다운|눈부신 날에|얼굴값|승부
쉐인 블랙,10037886,감독,더 프레데터|나이스 가이즈|언럭키맨|아이언맨 3|키스 키스 뱅뱅|롱 키스 굿나잇 
김광식,10003620,감독,안시성|찌라시: 위험한 소문|내 깡패 같은 애인|오프 로드|오아시스|얼굴|억수탕(3pm Paradise)|비천괴수
박희곤,10029586,감독,명당|챔피언|퍼펙트 게임|인사동 스캔들|아 유 레디?
이종석,20114792,감독,협상|그것만이 내 세상|히말라야|국제시장|더 킥|리턴
코린 하디,10076618,감독,더 넌
우시로 신지,20171642,감독,극장판 요괴워치 섀도사이드: 도깨비왕의 부활|극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!|극장판 요괴워치: 탄생의 비밀이다냥!|스트레이트 재킷
울프강 라우엔슈타인,10052360,감독,루이스
닛타 노리오,10080742,감독,에그엔젤 코코밍: 두근두근 핼러윈 파티|극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계
정미화,20309473,감독,극장판 뽀잉: 슈퍼 변신의 비밀
루벤 플레셔,20120723,감독,베놈|갱스터 스쿼드|털기 아니면 죽기 : 제한시간 30분|좀비랜드
김태균,10006086,감독,"암수살인|봄, 눈|써클|세이예스|신장개업|닥터 K|억수탕(3pm Paradise)|반짝반짝 두근두근|2015 GSFF 배우 특별전: 김수안 |[PDFF2015] 장애인미디어운동1 + 한국영화초청3"
마크 포스터,10024440,감독,곰돌이 푸 다시 만나 행복해|월드 워 Z|머신건 프리처 감독판|머신건 프리처|007 퀀텀 오브 솔러스|연을 쫓는 아이|스트레인저 댄 픽션|스테이|네버랜드를 찾아서|몬스터 볼
존 스티븐슨,10068082,감독,모차르트: 프라하의 서곡|모래요정과 아이들|애니멀 팜
이지원,10057572,감독,미쓰백|우아한 세계|주홍글씨|번지점프를 하다|그녀에게|판타스틱 자살소동
마이크 데블린,10044124,감독,다이노 어드벤처: 에일리언 월드|다이노 어드벤처2: 육해공 공룡 대백과|다이노 어드벤처: 뉴 자이언트|다이노 어드벤처: 육해공 킬러 엘리트
마이클 수지,10023193,감독,에브리데이|서약|그레이 가든스
데이미언 셔젤,10009698,감독,퍼스트맨|라라랜드|위플래쉬
이시다 히로야스,10056329,감독,펭귄 하이웨이|태양소년 이슬소녀|비오는 마을|후미코의 고백|이시다 히로야스 X 아라이 요지로 특별전
